target_fraction,incremental_per_person,random_per_person,qini_gain_per_person
0.0,0.0,0.0,0.0
0.01,0.0006607311510601482,1.3546062769418336e-05,0.0006471850882907299
0.02,0.0007949612018601327,2.709212553883667e-05,0.0007678690763212961
0.03,0.0008991723449681294,4.0638188308255e-05,0.0008585341566598744
0.04,0.0009529980410050789,5.418425107767334e-05,0.0008988137899274055
0.05,0.0009920992944673554,6.773031384709168e-05,0.0009243689806202638
0.06,0.0009771781398084552,8.127637661651e-05,0.0008959017631919451
0.07,0.0009749762919699602,9.482243938592837e-05,0.0008801538525840317
0.08,0.0009734428227162215,0.00010836850215534669,0.0008650743205608748
0.09,0.0010290871923698478,0.00012191456492476502,0.0009071726274450828
0.1,0.001024496648372034,0.00013546062769418337,0.0008890360206778507
0.11,0.001028605275922685,0.0001490066904636017,0.0008795985854590833
0.12,0.0010418946052857337,0.00016255275323302,0.0008793418520527136
0.13,0.0010671365068423183,0.00017609881600243838,0.00089103769083988
0.14,0.0010783223444089849,0.00018964487877185673,0.0008886774656371282
0.15,0.0010550855786066694,0.00020319094154127502,0.0008518946370653943
0.16,0.0010629588625437193,0.00021673700431069337,0.000846221858233026
0.17,0.00105996094078419,0.00023028306708011172,0.0008296778737040782
0.18,0.001074685383358864,0.00024382912984953004,0.000830856253509334
0.19,0.0010830993505443925,0.00025737519261894836,0.0008257241579254441
0.2,0.0010753537619436204,0.00027092125538836674,0.0008044325065552537
0.21,0.0010816642373327667,0.00028446731815778506,0.0007971969191749816
0.22,0.001094285188111059,0.0002980133809272034,0.0007962718071838557
0.23,0.0011069061388893514,0.00031155944369662175,0.0007953466951927296
0.24,0.0011153201060748795,0.00032510550646604,0.0007902145996088395
0.25,0.0011054710256777256,0.0003386515692354584,0.0007668194564422672
0.26,0.0011117815010668716,0.00035219763200487677,0.0007595838690619949
0.27,0.0011159884846596358,0.0003657436947742951,0.0007502447898853407
0.28,0.0011201954682524,0.00037928975754371346,0.0007409057107086866
0.29,0.0011307129272343102,0.00039283582031313173,0.0007378771069211786
0.3,0.0011068077828472382,0.00040638188308255005,0.0007004258997646882
0.31,0.0011130141201497693,0.0004199279458519684,0.0006930861742978009
0.32,0.0011074761614319945,0.00043347400862138674,0.0006740021528106079
0.33,0.0011095796532283766,0.0004470200713908051,0.0006625595818375715
0.34,0.0011095796532283766,0.00046056613416022344,0.0006490135190681532
0.35000000000000003,0.0011116831450247587,0.0004741121969296418,0.0006375709480951169
0.36,0.0011158188670366354,0.0004876582596990601,0.0006281606073375753
0.37,0.001103937556423987,0.0005012043224684785,0.0006027332339555084
0.38,0.001104718049136456,0.0005147503852378967,0.0005899676638985592
0.39,0.001106041048220369,0.0005282964480073151,0.0005777446002130539
