window_days,metric,method_a,method_b,cohort_campaigns,paired_campaigns,spearman_rho,mean_absolute_rank_change,max_absolute_rank_change,campaigns_with_rank_change,top10_a,top10_b,top10_overlap,top10_jaccard
1,attributed_conversion_share,publisher,first_click_proxy,286,286,0.43464553519308974,70.06993006993007,266.0,285,10,10,2,0.1111111111111111
1,attributed_conversion_share,publisher,last_click_proxy,286,286,0.43464553519308974,70.06993006993007,266.0,285,10,10,2,0.1111111111111111
1,attributed_conversion_share,publisher,linear_proxy,286,286,0.43464553519308974,70.06993006993007,266.0,285,10,10,2,0.1111111111111111
1,attributed_conversion_share,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,first_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,first_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,first_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,first_click_proxy,publisher,286,286,0.9346215427927793,21.835664335664337,93.0,279,10,10,9,0.8181818181818182
7,credited_conversions,last_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,last_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,last_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,last_click_proxy,publisher,286,286,0.9346215427927793,21.835664335664337,93.0,279,10,10,9,0.8181818181818182
7,credited_conversions,linear_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,linear_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,linear_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,credited_conversions,linear_proxy,publisher,286,286,0.9346215427927793,21.835664335664337,93.0,279,10,10,9,0.8181818181818182
7,credited_conversions,publisher,first_click_proxy,286,286,0.9346215427927792,21.835664335664337,93.0,279,10,10,9,0.8181818181818182
7,credited_conversions,publisher,last_click_proxy,286,286,0.9346215427927792,21.835664335664337,93.0,279,10,10,9,0.8181818181818182
7,credited_conversions,publisher,linear_proxy,286,286,0.9346215427927792,21.835664335664337,93.0,279,10,10,9,0.8181818181818182
7,credited_conversions,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,first_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
