outcome,n_treatment,n_control,treatment_events,control_events,treatment_rate,control_rate,absolute_lift,relative_lift,ci_low,ci_high,p_value,incremental_per_100k,incremental_per_100k_low,incremental_per_100k_high
conversion,11882655,2096937,36711,4063,0.0030894610674129645,0.0019375880152813366,0.0011518730521316279,0.594488117725262,0.0010837661723808922,0.0012185181457768956,7.30826328583868e-179,115.18730521316279,108.37661723808922,121.85181457768955
visit,11882655,2096937,576824,80105,0.048543360048743316,0.03820095691954503,0.010342403129198284,0.27073675539019615,0.010054923573979113,0.010628476373911467,0.0,1034.2403129198285,1005.4923573979113,1062.8476373911467
