arm,dimension,level,metric,n_treatment,n_control,treatment_mean,control_mean,effect,se,ci_low,ci_high,p_value,relative_lift,incremental_total,incremental_total_ci_low,incremental_total_ci_high,versus_rest_effect,interaction_p,interaction_q_bh
Mens E-Mail,geo_class,Rural,conversion,3243,3139,0.013567684242984891,0.00828289264096846,0.00528479160201643,0.0025972822751469935,0.00013614557828635094,0.010577328749949936,0.04271535206467496,0.6380369553357529,17.138579165339284,0.4415201103826361,34.30227713608764,-0.001775897259316983,0.5224559930555096,0.7514832829210893
Mens E-Mail,geo_class,Suburban,conversion,9501,9625,0.012419745289969477,0.004987012987012987,0.00743273230295649,0.0013441375007431952,0.004830275518041424,0.010155282426734037,3.0109490019045204e-08,1.4904176753324212,70.61838961038961,45.892447696911574,96.48533833640009,0.0011471050165330525,0.5339486483913003,0.7514832829210893
Mens E-Mail,geo_class,Urban,conversion,8563,8542,0.012262057690061895,0.005619292905642706,0.006642764784419188,0.0014383359877514874,0.003845509651119596,0.00954961005206539,3.956111962968045e-06,1.1821353497605982,56.881994848981506,32.929099142537105,81.77331087583593,-0.0002715439971646104,0.8846819719155582,0.921038765281951
Mens E-Mail,geo_class,Rural,revenue,3243,3139,1.5226364477335799,0.7671360305829882,0.7555004171505917,0.3594787986267865,0.05077343995186423,1.4602273943493191,0.0356307473725496,0.9848323987291355,2450.087852819369,164.65826576389568,4735.517439874842,-0.01612780930591895,0.9672599739783951,0.9672599739783951
Mens E-Mail,geo_class,Suburban,revenue,9501,9625,1.4732901799810545,0.669442077922078,0.8038481020589765,0.22943876149340856,0.35412361086145067,1.2535725932565023,0.00046032414511103963,1.200773193932012,7637.360817662336,3364.5284267946427,11910.193208530029,0.061079464467974964,0.8361321194532736,0.907572395675183
Mens E-Mail,geo_class,Urban,revenue,8563,8542,1.328512203666939,0.5920053851557012,0.7365068185112378,0.21710426242975345,0.3109552240659943,1.1620584129564813,0.0006946326294116112,1.244088038688249,6306.7078869117295,2662.709583677109,9950.70619014635,-0.055873074089243246,0.8478636854333946,0.907572395675183
Mens E-Mail,newbie,0,conversion,10621,10611,0.013934657753507202,0.007727829610781264,0.006206828142725938,0.001420054791097404,0.0034356693135454835,0.00904533745457752,1.2510598620759528e-05,0.8031787002739625,65.9227217038922,36.49024377916658,96.07052910506785,-0.0011891722867200952,0.5187083261964505,0.7514832829210893
Mens E-Mail,newbie,1,conversion,10686,10695,0.011136065880591428,0.0037400654511453952,0.007396000429446033,0.0011743234668281843,0.005129785018370676,0.00978450075640442,3.096637165894219e-10,1.9775056148231331,79.0336605890603,54.816882706309045,104.55717508293763,0.0011891722867200952,0.5187083261964505,0.7514832829210893
Mens E-Mail,newbie,0,revenue,10621,10611,1.5133170134638925,0.9353501083780982,0.5779669050857943,0.22264348682288812,0.14156727685908765,1.014366533312501,0.009440424495721855,0.6179150458302634,6138.586498916221,1503.58604752037,10773.586950312072,-0.3820529368434158,0.18870170030502043,0.5102119213572741
Mens E-Mail,newbie,1,revenue,10686,10695,1.3324677147669848,0.37244787283777464,0.9600198419292101,0.18685151827383872,0.5937689318257573,1.3262707520326629,2.8124216314196146e-07,2.5775951802720094,10258.772030855538,6345.014805490043,14172.529256221036,0.3820529368434158,0.18870170030502043,0.5102119213572741
