metric,n_treatment,n_control,treatment_mean,control_mean,effect,se,ci_low,ci_high,p_value,relative_lift,incremental_total,incremental_total_ci_low,incremental_total_ci_high
conversion,21307,21387,0.01253109306800582,0.008837144059475383,0.003693949008530437,0.0009951621494566109,0.0017462848141901722,0.005662614423391559,0.0002051537746568838,0.4180025790764045,78.70697152475802,37.20809053595,120.65332551920395
revenue,21307,21387,1.422616511005773,1.0772015710478329,0.34541493995794004,0.15961741484165423,0.03256144962609531,0.6582684302897848,0.030468651185299227,0.32065952115344803,7359.756125683828,693.7868071832127,14025.725444184443
visit,21307,21387,0.18275684047496127,0.151400383410483,0.03135645706447826,0.003608000837174793,0.024284125814801178,0.038427658709805516,3.802165220636663e-18,0.20710949574984452,668.1120306728383,517.4218687359687,818.7781241298261
